minutes_watched,CLV,region,channel
3197,205.42,2,4
63,149.99,0,1
605,119,2,2
20,240,2,4
245,184.36,1,4
259,418.63,0,3
5456,245.17,0,1
247,177.98,1,3
160,283.44,0,3
77,295.97,1,1
231,202.88,0,3
611,149.99,0,4
5915,366.45,1,1
816,82.58,2,3
1312,269.97,2,3
28988,253.93,2,8
1319,193.63,0,1
9158,53.94,0,1
51411,449.42,2,3
2812,207.12,1,3
5811,180.17,2,3
1574,180.17,1,6
8121,269.97,0,8
399,149.99,2,4
1817,269.97,0,3
42437,285.76,0,3
5574,286.17,2,3
266,149.99,2,7
4461,287.49,0,1
3326,102.18,2,4
9410,185.98,2,5
1632,202.04,2,1
4071,149.98,0,7
14036,180.52,2,3
6438,515.24,2,1
2984,363.79,1,3
61,149.99,0,4
4499,86.24,2,2
315,149.98,0,4
2991,306.58,2,1
7761,176.98,2,1
1293,358.18,1,1
3602,269.96,2,1
2843,286.09,0,7
2646,269.97,0,3
1582,75.42,2,4
6404,528.89,2,1
8413,302.11,1,3
3492,223.22,1,7
34370,295.71,0,1
1188,147,2,1
611,353.53,0,3
980,359.03,0,4
1171,268.99,2,5
55380,64.8,0,7
3,213.61,2,4
1616,174.01,2,3
288,184.44,2,7
1465,270.49,0,1
6331,99,2,4
313,118.47,2,1
804,213.97,2,3
1971,207.55,0,3
1054,172.8,2,7
9138,245.98,2,4
2128,333.9,0,3
3875,331.99,0,3
12436,84.96,2,3
3564,62.58,2,1
2571,36,0,8
214,119,0,3
10616,350.09,2,7
55539,313.2,2,3
11578,285.36,2,3
766,177.41,2,1
2912,269.97,0,6
3229,62.58,2,1
37167,388.62,2,3
59,129.6,2,4
1390,46,2,4
2778,227.78,1,4
613,184.44,0,1
9005,285.36,0,1
4315,149.99,2,3
262,174,2,4
4308,184.45,2,3
89131,496.08,0,7
2327,330.6,2,3
1602,184.43,2,7
671,269.76,0,6
2408,82.04,2,2
6937,174,2,7
94,149.99,2,1
5554,484.69,1,3
228,64.8,0,7
7270,302.48,0,3
126,91.5,2,3
6012,207.06,2,7
6197,169.04,1,1
4139,331.99,2,3
828,233.63,1,1
2076,36,2,3
2967,62.58,2,3
115,150.64,0,1
2719,187.57,2,3
1166,62.58,2,1
2432,149.99,2,1
6261,245.98,2,1
22927,245.98,0,3
5912,279.59,2,1
5935,245.98,2,3
25,149.68,0,1
15163,149.99,2,1
4199,149.99,2,3
2334,248.43,0,2
19502,171.58,2,1
4087,184.44,0,1
302,150,2,3
6853,149.99,2,3
3194,62.58,2,7
43,63.63,2,3
2311,147,2,1
2387,207.57,1,6
2964,313.2,2,7
2931,184.44,2,1
1707,149.99,0,7
13349,64.8,2,3
2389,331.99,2,2
1242,331.99,0,3
997,149.72,0,3
2058,230.97,1,1
171,149.99,0,1
927,212.91,1,1
229,184.44,0,3
2575,149.99,2,3
26240,64.8,0,8
13035,365.71,1,4
1162,119,0,3
33,149.99,0,1
401,323.82,1,3
8273,207.37,1,3
3021,172.15,2,7
291,325.04,2,1
3500,62.58,2,2
7692,271.71,0,3
7638,184.64,2,3
14810,285.36,2,1
1187,360.88,1,7
55284,64.8,0,1
5849,342.2,2,3
3632,270.69,0,6
24213,199.49,2,4
357,149.99,2,1
5605,304.63,1,3
9074,119,0,2
3997,343.82,1,3
1443,313.77,2,7
1409,19,2,8
48,119,2,4
1268,313.26,2,1
46,63.63,2,4
8231,174.14,0,1
20799,174,0,1
957,269.98,0,7
348,174,0,3
2522,313.42,0,3
14187,267.48,0,3
3750,331.79,0,3
1407,146.93,0,1
1915,62.58,2,1
72,259.02,2,7
1354,119,2,8
263,182.51,1,6
585,149.99,2,3
1569,302.48,0,3
2031,174,0,1
3468,443.98,0,3
247,119,0,3
1231,184.44,0,3
54,49.5,0,1
289,121,2,1
444,77.3,2,4
423,36,0,8
629,150.24,2,3
507,62.58,2,1
2483,184.44,2,3
8867,245.98,2,1
32131,292.6,1,3
2623,149.99,2,3
909,149.99,2,3
21279,269.98,2,7
356,149.99,2,6
8022,48.6,0,3
1502,269.98,2,2
94,149.99,2,3
32947,217.18,2,6
9723,157.2,2,6
20292,245.98,2,8
3704,61.2,2,1
9930,62.58,2,4
1869,149.99,2,6
2283,246.42,0,3
780,149.99,2,2
34,358,1,2
771,162.37,2,2
12035,217.44,2,1
364,62.58,2,4
163,270.04,2,4
3001,24.71,2,1
19622,245.98,2,3
4384,245.98,2,1
1224,269.98,2,3
538,149.99,2,6
1116,149.99,2,1
1518,150.44,0,1
,300.06,0,4
189,150.19,2,3
2781,184.44,0,3
484,9.5,2,1
1416,19,2,3
831,149.99,2,2
1852,62.58,2,3
176,36,2,3
488,121,0,1
25571,144,0,3
616,348.13,0,3
694,184.44,2,2
1512,174.61,2,4
929,149.99,0,1
3153,99,1,1
14177,230.35,0,1
1914,174,2,1
382,174,0,1
81,331.99,0,3
1827,149.99,2,8
1548,184.44,2,3
5193,174.62,0,3
26,149.99,0,3
756,174,1,4
5454,149.99,2,1
620,184.44,0,1
229,174,0,4
371,173.99,2,1
1517,173.59,0,8
188,119,0,4
1360,174,2,2
11949,378.8,1,2
749,172.8,0,7
46,145.67,1,1
2252,394.64,1,1
15353,626.4,2,3
8623,335.41,1,1
920,174,0,3
654,141.12,2,4
115,147.12,2,3
173,62.58,2,1
1749,182.16,1,3
520,178.03,1,7
2729,413.78,1,7
491,72.56,2,7
1335,174,2,3
5306,270.4,1,3
5561,184.44,0,3
3697,64.8,0,3
989,181.12,1,1
2938,82.05,2,7
446,62.22,2,6
3562,90.86,2,1
314,49.5,0,3
417,222.32,1,3
234,174,0,3
714,184.44,2,3
65,129.6,2,1
2512,174,2,3
12723,373.73,2,3
7207,173.5,0,8
14553,441.9,1,1
1394,240,2,3
3767,174,2,3
292,187.95,1,3
40488,185.7,0,7
14621,18,2,4
913,184.14,1,4
133,62.57,2,7
2085,273,0,3
643,174,0,1
8289,211.44,2,3
1164,149.99,1,3
186,62.58,2,1
1,149.99,0,1
686,149.99,2,3
901,133,0,1
1750,173.45,0,3
89,184.51,0,1
461,184.44,0,7
5156,106.1,0,4
41,62.58,2,6
1653,91.5,2,3
1606,149.8,1,1
631,240,0,7
1614,149.99,0,1
1028,149.98,2,1
1675,119,2,4
918,68.36,2,7
1861,149.99,0,3
2595,149.66,2,3
2239,149.99,2,3
203,149.99,0,1
152,149.99,2,4
1055,149.99,2,3
653,30,2,3
914,149.99,0,4
380,149.99,0,1
1379,149.99,2,7
674,149.99,2,3
1743,149.99,0,3
5004,149.99,2,1
5357,149.74,0,1
4587,133.75,1,3
539,149.99,0,3
826,184.44,0,3
396,178.14,1,3
836,149.99,2,3
11346,149.99,2,1
983,150,0,6
476,149.99,2,8
1785,10,1,2
125,149.99,0,3
68,149.99,2,3
409,178.8,1,3
321,138,0,1
666,150.13,2,1
150,150.28,0,2
320,79.41,2,3
3230,174,0,3
3461,239.96,1,3
220,184.44,0,3
1127,174.28,0,3
289,62.58,2,3
372,27,2,6
3702,174,2,7
130,181.95,1,2
544,174,0,3
1305,184.44,2,3
2505,212.97,1,1
263,149.99,0,7
110,174,0,7
0,183.92,0,3
1283,184.44,2,3
1741,62.58,2,3
21,137.99,0,7
6132,174,2,1
12677,150.42,0,3
661,186.9,0,3
148,62.56,2,3
1972,184.04,0,6
4440,138,0,1
198,141.26,1,3
3555,184.44,2,3
1615,149.99,2,1
339,212.94,1,6
202,149.99,2,3
536,62.58,2,2
190,174,2,7
785,62.58,2,1
108329,344.4,2,3
28815,269.67,1,8
366,137.98,0,1
,43.82,1,3
1146,174,2,3
10438,55,2,3
1171,174.22,2,4
1132,221.47,1,7
514,184.45,2,1
5018,184.44,0,1
827,184.44,2,7
10796,64.8,2,1
1277,149.99,2,3
3076,182.55,0,4
8158,174,2,3
530,34.2,2,7
761,174.47,0,3
504,184.44,0,3
692,144.45,1,6
429,142.15,1,8
2377,65.88,2,5
7800,209.92,1,3
577,62.58,2,4
372,178.91,1,7
402,122.56,1,1
697,174,0,3
2383,168.23,2,3
277,36.19,0,3
588,285.23,1,4
742,86.25,2,4
17266,184.8,1,6
2303,174,0,1
11916,64.8,0,1
2659,155,2,7
499,36,2,4
18983,209.78,1,6
1373,61.2,2,3
15877,59.04,0,3
1904,62.58,2,1
1322,86.25,2,1
45,174,0,2
714,177.69,1,3
1804,149.98,2,1
3216,93.67,2,1
144,143.28,2,1
1383,243.14,1,2
47,212.76,1,1
289,118.58,0,2
2238,128.36,1,3
457,149.99,2,3
1995,62.58,2,8
27636,136.21,1,1
58,36,2,1
13482,64.8,2,3
89,149.99,2,3
468,149.99,2,3
143,178.24,1,3
3570,209.29,1,1
497,174,0,2
0,4.19,2,3
800,62.57,2,5
500,149.99,0,1
291,149.99,2,3
426,174,0,3
147,174,2,1
967,36,0,3
732,215.76,2,7
383,180.58,1,1
124,347.19,0,3
814,149.53,0,7
7567,347.05,0,8
1,49.36,0,8
158,27,2,1
3626,160.97,0,3
7585,118.91,2,6
0,149.61,1,7
74,184.44,0,3
